indekss,iela,ielas numurs,novads,pilsēta,pagasts,ciems
LV-1001,Annas iela,2,,Rīga,,
LV-1001,Aristida Briāna iela,2,,Rīga,,
LV-1001,Aristida Briāna iela,3,,Rīga,,
LV-1001,Aristida Briāna iela,4,,Rīga,,
LV-1001,Aristida Briāna iela,4A,,Rīga,,
LV-1001,Aristida Briāna iela,5,,Rīga,,
LV-1001,Aristida Briāna iela,6,,Rīga,,
LV-1001,Aristida Briāna iela,7,,Rīga,,
LV-1001,Aristida Briāna iela,8,,Rīga,,
LV-1001,Aristida Briāna iela,8A,,Rīga,,
LV-1001,Aristida Briāna iela,9,,Rīga,,
LV-1001,Aristida Briāna iela,9A,,Rīga,,
LV-1001,Aristida Briāna iela,9 k-1,,Rīga,,
LV-1001,Aristida Briāna iela,9 k-2,,Rīga,,
LV-1001,Aristida Briāna iela,10,,Rīga,,
LV-1001,Aristida Briāna iela,10A,,Rīga,,
LV-1001,Aristida Briāna iela,12,,Rīga,,
LV-1001,Aristida Briāna iela,13,,Rīga,,
LV-1001,Aristida Briāna iela,14,,Rīga,,
LV-1001,Aristida Briāna iela,15,,Rīga,,
LV-1001,Aristida Briāna iela,16,,Rīga,,
LV-1001,Aristida Briāna iela,17,,Rīga,,
LV-1001,Aristida Briāna iela,18,,Rīga,,
LV-1001,Aristida Briāna iela,18A,,Rīga,,
LV-1001,Aristida Briāna iela,20,,Rīga,,
LV-1001,Aristida Briāna iela,22,,Rīga,,
LV-1001,Artilērijas iela,2/4,,Rīga,,
LV-1001,Artilērijas iela,3,,Rīga,,
LV-1001,Artilērijas iela,5,,Rīga,,
LV-1001,Artilērijas iela,6,,Rīga,,
LV-1001,Artilērijas iela,6A,,Rīga,,
LV-1001,Artilērijas iela,8,,Rīga,,
LV-1001,Artilērijas iela,9,,Rīga,,
LV-1001,Artilērijas iela,10,,Rīga,,
LV-1001,Artilērijas iela,11,,Rīga,,
LV-1001,Artilērijas iela,13,,Rīga,,
LV-1001,Artilērijas iela,15,,Rīga,,
LV-1001,Artilērijas iela,17,,Rīga,,
LV-1001,Artilērijas iela,19,,Rīga,,
LV-1001,Artilērijas iela,21,,Rīga,,
LV-1001,Artilērijas iela,22,,Rīga,,
LV-1001,Artilērijas iela,23,,Rīga,,
LV-1001,Artilērijas iela,23E,,Rīga,,
LV-1001,Artilērijas iela,24,,Rīga,,
LV-1001,Artilērijas iela,26,,Rīga,,
LV-1001,Bruņinieku iela,5,,Rīga,,
LV-1001,Bruņinieku iela,5 k-1,,Rīga,,
LV-1001,Bruņinieku iela,5 k-2,,Rīga,,
LV-1001,Bruņinieku iela,5 k-3,,Rīga,,
LV-1001,Bruņinieku iela,5 k-4,,Rīga,,
LV-1001,Bruņinieku iela,5 k-5,,Rīga,,
LV-1001,Bruņinieku iela,5 k-6,,Rīga,,
LV-1001,Bruņinieku iela,5 k-7,,Rīga,,
LV-1001,Bruņinieku iela,5 k-8,,Rīga,,
LV-1001,Bruņinieku iela,5 k-9,,Rīga,,
LV-1001,Bruņinieku iela,5 k-10,,Rīga,,
LV-1001,Bruņinieku iela,5 k-11,,Rīga,,
LV-1001,Bruņinieku iela,5 k-12,,Rīga,,
LV-1001,Bruņinieku iela,5 k-13,,Rīga,,
LV-1001,Bruņinieku iela,5 k-14,,Rīga,,
LV-1001,Bruņinieku iela,5 k-15,,Rīga,,
LV-1001,Bruņinieku iela,5 k-16,,Rīga,,
LV-1001,Bruņinieku iela,5 k-17,,Rīga,,
LV-1001,Bruņinieku iela,5 k-19,,Rīga,,
LV-1001,Bruņinieku iela,5 k-21,,Rīga,,
LV-1001,Bruņinieku iela,5 k-22,,Rīga,,
LV-1001,Bruņinieku iela,5 k-23,,Rīga,,
LV-1001,Bruņinieku iela,5 k-24,,Rīga,,
LV-1001,Bruņinieku iela,5 k-25,,Rīga,,
LV-1001,Bruņinieku iela,10,,Rīga,,
LV-1001,Bruņinieku iela,10A,,Rīga,,
LV-1001,Bruņinieku iela,12,,Rīga,,
LV-1001,Bruņinieku iela,14,,Rīga,,
LV-1001,Bruņinieku iela,14A,,Rīga,,
LV-1001,Bruņinieku iela,16,,Rīga,,
LV-1001,Bruņinieku iela,18,,Rīga,,
LV-1001,Bruņinieku iela,18A,,Rīga,,
LV-1001,Bruņinieku iela,19,,Rīga,,
LV-1001,Bruņinieku iela,19 k-2,,Rīga,,
LV-1001,Bruņinieku iela,20,,Rīga,,
LV-1001,Bruņinieku iela,21,,Rīga,,
LV-1001,Bruņinieku iela,22,,Rīga,,
LV-1001,Bruņinieku iela,23,,Rīga,,
LV-1001,Bruņinieku iela,24,,Rīga,,
LV-1001,Bruņinieku iela,24A,,Rīga,,
